Candidato,Distrito,Lista,Pacto,Partido,votacion
RODRIGO ALEJANDRO TOLEDO DEL RIO,25,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,1169
RODRIGO ANDRES MORENO ORELLANA,25,H,SUMEMOS,CIUDADANOS,653
RODRIGO ANTONIO CUEVAS TRONCOSO,1,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,8841
RODRIGO CUEVAS BENITEZ,7,H,SUMEMOS,AMPLITUD,425
RODRIGO DAROCH YAÃ‘EZ,21,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,7478
RODRIGO GONZALEZ LOPEZ,23,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,1370
RODRIGO GONZALEZ TORRES,7,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,16849
RODRIGO JAVIER BORNE CARNARTON,3,H,SUMEMOS,CIUDADANOS,595
RODRIGO OLIVA VICENTELO,2,G,FRENTE AMPLIO,IGUALDAD,3391
ROLANDO RENTERIA MOLLER,18,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,16715
ROSA DEL CARMEN RIQUELME ANDRADES,17,B,POR TODO CHILE,PAIS,2670
ROSA OYARCE SUAZO,10,P,CHILE VAMOS,RENOVACION NACIONAL,6084
ROSARIO ANDREA OLIVARES SAAVEDRA,10,G,FRENTE AMPLIO,ECOLOGISTA VERDE,4063
ROSARIO PEREZ IZQUIERDO,7,P,CHILE VAMOS,RENOVACION NACIONAL,6891
ROSSANA VIRGINIA ALVARADO PINTO,1,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,448
ROXANA VIGUERAS CHERRES,2,G,FRENTE AMPLIO,LIBERAL DE CHILE,4974
ROXANA PEY TUMANOFF,27,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE COMUNISTA DE CHILE,1432
RUBEN EDUARDO ANDINO MALDONADO,16,G,FRENTE AMPLIO,HUMANISTA,1584
RUTH SEEMANN BARRIA,25,B,POR TODO CHILE,PROGRESISTA,745
SACHA IVAN RAZMILIC BURGOS,3,H,SUMEMOS,CIUDADANOS,1097
SAMUEL ABELARDO JIMENEZ MORAGA,18,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,726
SAMUEL FLORES GARRIDO,16,R,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,4887
SANDRA AMAR MANCILLA,28,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,6871
SANDRA CARMONA PIZARRO,3,G,FRENTE AMPLIO,IGUALDAD,3102
SANDRA PEÃ‘A MARAMBIO,4,G,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,639
SANDRA ELENA URIBE FLORES,9,G,FRENTE AMPLIO,INDEPENDIENTE IGUALDAD,2534
SANDRA GUERRA TURCATI,4,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,270
SANDRA OLIVA JIMENEZ,21,G,FRENTE AMPLIO,IGUALDAD,2235
SANDRA PAOLA VEGA OYARZO,26,G,FRENTE AMPLIO,ECOLOGISTA VERDE,3173
SANDRA VELASQUEZ PALMA,21,G,FRENTE AMPLIO,HUMANISTA,1686
SARA MARTINEZ MONDELO,27,H,SUMEMOS,INDEPENDIENTE TODOS,307
SEBASTIAN LAFAURIE RIVERA,8,P,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,3069
SEBASTIAN VERGARA ALFARO,2,G,FRENTE AMPLIO,HUMANISTA,2418
SEBASTIAN ALVAREZ RAMIREZ,23,P,CHILE VAMOS,EVOLUCION POLITICA,5319
SEBASTIAN KEITEL BIANCHI,9,P,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,30243
SEBASTIAN LLANTEN MORALES,16,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,488
SEBASTIAN MANUEL CAMPOS CAMPILLAY,4,O,CONVERGENCIA DEMOCRATICA,MAS REGION,463
SEBASTIAN TORREALBA ALVARADO,10,P,CHILE VAMOS,RENOVACION NACIONAL,10196
SERGIO ARIEL SALAZAR MEZA,16,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,6373
SERGIO BOBADILLA MUÃ‘OZ,20,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,18432
SERGIO CARVAJAL CADIZ,18,G,FRENTE AMPLIO,HUMANISTA,920
SERGIO GAHONA SALAZAR,5,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,27332
SERGIO GOMEZ CELEDON,10,M,UNION PATRIOTICA,UNION PATRIOTICA,539
SERGIO JAVIER PIZARRO GOMEZ,3,H,SUMEMOS,INDEPENDIENTE CIUDADANOS,1993
SERGIO RODRIGO OJEDA URIBE,25,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,6233
SILVIA BERTA GUALA CARRASCO,24,B,POR TODO CHILE,PROGRESISTA,906
SILVIO RIVERA DURAN,8,M,UNION PATRIOTICA,UNION PATRIOTICA,942
SOFIA CID VERSALOVIC,4,P,CHILE VAMOS,RENOVACION NACIONAL,13325
SOL ROMERO DEL VILLAR,3,N,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,1233
SOLEDAD ALAMOS FUENZALIDA,11,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,17845
SOLEDAD TOHA VELOSO,19,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,8101
SONIA CUBILLOS ESPINOZA,6,M,UNION PATRIOTICA,UNION PATRIOTICA,760
SONIA ELIZABETH SILVA TORRES,25,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,505
SONYA IVONNE LANGENBACH RUIZ,3,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,992
SORAYA SAID TEUBER,25,P,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,3248
SUSAN ANGELICA PONCE JARA,26,G,FRENTE AMPLIO,PODER,902
SUSANA SANCHEZ GONGORA,14,B,POR TODO CHILE,PROGRESISTA,1675
SUSANA ROSA HERNANDEZ COLLAO,12,G,FRENTE AMPLIO,IGUALDAD,3864
TAMARA ANDREA ESPINOZA GUTIERREZ,27,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,120
TAMARA BELEN ORTIZ CASTILLO,21,G,FRENTE AMPLIO,IGUALDAD,2270
TAMARA MORA MORA,13,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,2570
TAMARA MOYA MOYANO,11,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,1094
TAMARA TORRES HUECHUCURA,23,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,2565
TIRSO ANTONIO GONZALEZ ALQUINTA,5,G,FRENTE AMPLIO,ECOLOGISTA VERDE,2826
TITO JAIME MONJE PINCHEIRA,10,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,948
TOMAS HIRSCH GOLDSCHMIDT,11,G,FRENTE AMPLIO,HUMANISTA,23627
TRINIDAD MORAN HERRERA,7,P,CHILE VAMOS,RENOVACION NACIONAL,8115
TUCAPEL FRANCISCO JIMENEZ FUENTES,13,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,22551
ULISES TOBAR CASSI,6,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,4853
ULISES CARABANTES AHUMADA,4,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,678
VALDEMAR SANHUEZA YEVENES,8,M,UNION PATRIOTICA,UNION PATRIOTICA,1240
VALENTIN HUMBERTO VOLTA VALENCIA,3,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,4763
VALENTINA OLIVARES GRAY,12,G,FRENTE AMPLIO,HUMANISTA,4277
VALERIA ORTEGA CADENA,17,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,3839
VALERIA BEATRIZ FANNY ARANCIBIA LUCO,17,H,SUMEMOS,CIUDADANOS,1060
VALERIA SOTO CARRASCO,9,M,UNION PATRIOTICA,UNION PATRIOTICA,1235
VALESKA NARANJO DAWSON,10,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE SOCIALISTA DE CHILE,2058
VALESKA DE LAS NIEVES OYARCE PEÃ‘A,9,B,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,1358
VANESSA CABELLO PARADA,16,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,471
VANIA SALAZAR SALAZAR,20,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,2499
VERONICA GARRIDO BELLO,13,P,CHILE VAMOS,EVOLUCION POLITICA,4807
VERONICA PAULINA PINILLA MARTINEZ,10,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,2360
VICENTE JAVIER GOMEZ SAN MARTIN,24,G,FRENTE AMPLIO,ECOLOGISTA VERDE,1184
VICTOR BUSTAMANTE GALAZ,16,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,2241
VICTOR ITURRIETA RIOS,8,M,UNION PATRIOTICA,UNION PATRIOTICA,790
VICTOR SEGUEL HENRIQUEZ,23,H,SUMEMOS,AMPLITUD,1211
VICTOR HUGO CAMILLA REYES,15,B,POR TODO CHILE,PROGRESISTA,823
VICTOR HUGO ORTIZ AVENDAÃ‘O,12,B,POR TODO CHILE,PROGRESISTA,1432
VICTOR MANUEL BORQUEZ FINCKE,27,H,SUMEMOS,CIUDADANOS,209
VICTOR MANUEL VILLALOBOS SOTO,7,B,POR TODO CHILE,PROGRESISTA,1246
VICTOR MARCELO TORRES JELDES,7,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,14942
VICTOR OSORIO REYES,8,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,5217
VICTOR RICARDO CERDA MORALES,14,G,FRENTE AMPLIO,ECOLOGISTA VERDE,6317
VICTORIA INES FARIÃ‘A CONCHA,20,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,4416
VIRGINIA TRONCOSO HELLMAN,16,P,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,7987
VITALIA MARICEL MUÃ‘OZ CASTILLO,4,O,CONVERGENCIA DEMOCRATICA,IZQUIERDA CIUDADANA DE CHILE,832
VIVIANA NAVARRO BRAIN,20,B,POR TODO CHILE,PAIS,2112
VIVIANA ALEJANDRA GULPPI RUBIO,17,O,CONVERGENCIA DEMOCRATICA,IZQUIERDA CIUDADANA DE CHILE,785
VIVIENNE BACHELET NORELLI,11,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,4392
VLADIMIR ALBERTO RIESCO BAHAMONDES,24,G,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,3352
VLADIMIRO MIMICA CARCAMO,28,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE SOCIALISTA DE CHILE,3807
VLADO MIROSEVIC VERDUGO,1,G,FRENTE AMPLIO,LIBERAL DE CHILE,24273
WALESKA JACQUELINE CASTILLO LOPEZ,6,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,7370
WILLEM SCHUITEMAKER TRUFFELLO,11,G,FRENTE AMPLIO,ECOLOGISTA VERDE,6085
XIMENA LARENAS HENRIQUEZ,19,G,FRENTE AMPLIO,ECOLOGISTA VERDE,2624
XIMENA MARIA RIVILLO OROSTICA,6,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,3712
XIMENA OÃ‘ATE AVILA,23,N,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,3252
XIMENA OSSANDON IRARRAZABAL,12,P,CHILE VAMOS,RENOVACION NACIONAL,52484
YERKO AVALOS VILLARROEL,5,H,SUMEMOS,AMPLITUD,8364
YHANSS DELGADO QUEVEDO,4,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,651
YOVANNA FUENTES PINO,14,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE SOCIALISTA DE CHILE,2991
ZAIDA FALCES SALAZAR,13,M,UNION PATRIOTICA,UNION PATRIOTICA,1006
ZANDRA ESTHER PARISI FERNANDEZ,26,K,COALICION REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,1169
